id,name,lat,lng,vicinity,kecamatan,kabupaten,rating,user_ratings_total,price,jenis_sepakbola,jenis_badminton,jenis_tenis,jenis_voli,jenis_futsal,jenis_basket,fasilitas_wifi,fasilitas_parkir_motor,fasilitas_parkir_mobil,fasilitas_wc,fasilitas_kantin,fasilitas_mushola
V836,Lapangan Bola Tuwuhan,-7.8966915,110.6938279,"4M3V+8GG, Tuwuhan, Jatiayu, Kabupaten Gunung Kidul",Jatiayu,Gunung Kidul,5,1,78000,0,0,0,1,0,0,1,1,0,1,1,0
V853,Lapangan Sumberejo,-7.8486263,110.7396055,"5P2Q+GRX, Papdaman, Sumberejo, Kabupaten Gunung Kidul",Sumberejo,Gunung Kidul,4.5,2,73000,0,0,0,1,0,0,1,0,1,0,0,0
V17,Lapangan Bola Volly Tlingsing,-7.8845492,110.7442746,"4P8V+5PJ, Tlingsing, Pundung Sari, Kabupaten Gunung Kidul",Pundung Sari,Gunung Kidul,5,1,72000,0,0,0,1,0,0,0,0,1,0,1,1
V547,Alun Alun Desa Pundungsari,-7.865889,110.740601,"4PMR+J6X, Pundungsari, Pundung Sari, Kabupaten Gunung Kidul",Pundung Sari,Gunung Kidul,4.4,37,79000,0,0,0,1,0,0,0,0,1,0,0,0
F817,Aa Futsal,-7.962385,110.321731,"Jl. Parangtritis, Gedongan, Panjangrejo, Kabupaten Bantul",Panjangrejo,Bantul,4.3,79,47000,0,0,0,0,1,0,0,0,1,0,0,0
F937,Djangkar Bumi Sasana Futsal,-7.9768791,110.599274,"2HFX+7M5, Gg. Keongmas Tegalsari, Seneng, Siraman, Kabupaten Gunung Kidul",Siraman,Gunung Kidul,4.1,45,57000,0,0,0,0,1,0,0,1,0,1,1,0
F360,Panggih Futsal,-8.0720243,110.6683365,"WMH9+58P, Gebang, Candirejo, Gunung Kidul Regency",Candirejo,Gunung Kidul,5,1,71000,0,0,0,0,1,0,0,0,0,0,0,1
F513,Lapangan Futsal Rahayu,-8.052378,110.802262,"WRX2+2VG, Blindas, Pracimantoro, Kabupaten Wonogiri",Pracimantoro,Wonogiri,4.2,9,72000,0,0,0,0,1,0,0,1,1,0,0,1
F349,Asa Futsal Center,-7.9484115,110.6638352,"Jalan Karangmojo Ponjong, Ngawis II, Ngawis, Kabupaten Gunung Kidul",Ngawis,Gunung Kidul,4.5,77,44000,0,0,0,0,1,0,1,0,1,0,1,0
F137,Lapangan Futsal Kjm,-7.9520762,110.6675594,"2MX9+527, Sudimoro, Kelor, Kabupaten Gunung Kidul",Kelor,Gunung Kidul,4,3,57000,0,0,0,0,1,0,0,0,0,0,0,1
F176,Goal Futsal,-7.943515,110.605981,"3J44+H9X, Unnamed Road, Budengan II, Piyaman, Kabupaten Gunung Kidul",Piyaman,Gunung Kidul,3.6,7,79000,0,0,0,0,1,0,1,1,1,1,0,1
F591,Kick Off Futsal  Karaoke,-7.9572834,110.5920538,"Jl. KH Agus Salim No.99, Ledoksari, Kepek, Kabupaten Gunung Kidul",Kepek,Gunung Kidul,4.3,312,50000,0,0,0,0,1,0,1,0,1,0,1,0
F854,Futsal Mengger Jaya Dan Murah Bersahabat,-7.9459758,110.5590788,"3H35+HPJ, Jl. Manthous, Jatisari, Kabupaten Gunung Kidul",Jatisari,Gunung Kidul,4.7,3,68000,0,0,0,0,1,0,0,1,1,1,1,0
F145,Pmsport  Putra Mustika  Futsal Arena,-7.9635904,110.5448854,"km.2 plembutan barat 20/05, Jl. Playen Paliyan, Plembutan Timur, Plembutan, Kabupaten Gunung Kidul",Plembutan,Gunung Kidul,3.5,19,74000,0,0,0,0,1,0,0,0,0,0,1,1
F71,Ardian Futsal,-7.8305076,110.4779529,"Srimartani, Bantul Regency",Srimartani,Bantul,4.6,112,54000,0,0,0,0,1,0,0,1,1,1,1,0
F994,Lapangan Futsal Darrul Ilmi,-7.8015017,110.5748783,"Karangasem 02/02, Sampang, Kabupaten Gunung Kidul",Sampang,Gunung Kidul,5,5,63000,0,0,0,0,1,0,1,0,1,1,1,1
F707,Gor Mahardika,-7.838971,110.7009556,"Kp. Kidul, Kampung, Gunung Kidul Regency",Kampung,Gunung Kidul,5,1,77000,0,0,0,0,1,0,0,0,0,1,1,0
F35,Huras Sport Center,-7.8681683,110.773042,"Jl. Karto Rejo, Dusun Karang, Karang Sari, Kabupaten Gunung Kidul",Karang Sari,Gunung Kidul,5,7,44000,0,0,0,0,1,0,0,0,1,1,1,0
F366,Gor BF Badminton Dan Futsal,-7.8662454,110.7441482,"4PMV+MXV, Semin Wetan, Pundung Sari, Kabupaten Gunung Kidul",Pundung Sari,Gunung Kidul,5,3,70000,0,0,0,0,1,0,1,0,0,0,1,0
F958,Gor Badminton  Futsal Kere Elit,-7.8663925,110.7441623,"Pelem, Pundung Sari, Gunung Kidul Regency",Pundung Sari,Gunung Kidul,5,6,64000,0,0,0,0,1,0,0,1,1,0,0,1
C743,Gedung Serbaguna Klisat Srihardono Pundong Bantul,-7.9590193,110.3504425,"29R2+95Q, Klisat, Srihardono, Kabupaten Bantul",Srihardono,Bantul,4.7,23,74000,0,1,0,0,0,0,0,0,0,1,1,0
C456,Gor Badminton Siraman,-7.972433,110.5898224,"2HHR+22J, Jl. KRT Judodiningrat, Seneng, Siraman, Kabupaten Gunung Kidul",Siraman,Gunung Kidul,5,3,62000,0,1,0,0,0,0,1,1,1,1,1,1
C325,Lapangan Bulutangkis,-7.9800749,110.6182906,"Gedangsari, Baleharjo, Gunung Kidul Regency",Baleharjo,Gunung Kidul,5,1,42000,0,1,0,0,0,0,1,1,1,0,1,1
C802,Lapangan Bulu Tangkis,-8.0256284,110.6159614,"XJF8+P9W, Kuwon Kidul, Pacarejo, Gunung Kidul Regency",Pacarejo,Gunung Kidul,5,2,37000,0,1,0,0,0,0,1,0,1,1,0,0
C660,Vina Sport,-8.0168936,110.6389245,"XJMQ+6HV, Clorot, Semanu, Gunung Kidul Regency",Semanu,Gunung Kidul,5,1,74000,0,1,0,0,0,0,0,0,1,1,0,0
C260,Gor Amongrogo Bedoyo Kulon,-8.0184039,110.7390547,"XPJQ+JJM, Bedoyo Kulon, Bedoyo, Kabupaten Gunung Kidul",Bedoyo,Gunung Kidul,4.6,9,78000,0,1,0,0,0,0,1,0,0,1,1,0
C332,Badminton Bima,-7.9236761,110.5872829,"gebangrejo, piyaman 2, Kalidadap, Gari, Kabupaten Gunung Kidul",Gari,Gunung Kidul,3.4,7,74000,0,1,0,0,0,0,0,0,1,1,0,1
C774,Gor Nggo NengNeng,-7.9412162,110.6054354,"Budegan RW.1, Ngemplak, Piyaman, Kabupaten Gunung Kidul",Piyaman,Gunung Kidul,4.3,30,61000,0,1,0,0,0,0,0,1,1,0,0,0
